,Roll_Num,Uni_ID,Student Name,Subject,Percentage
228,10123969,20012559,AAA AAA559,CSL3307,40.48
229,10123970,20012560,AAA AAA560,CSL3307,73.81
230,10123971,20012561,AAA AAA561,CSL3307,69.05
231,10123972,20012562,AAA AAA562,CSL4207,73.33
232,10123973,20012563,AAA AAA563,CSL3307,73.81
233,10123974,20012564,AAA AAA564,CSL3307,71.43
234,10123975,20012565,AAA AAA565,CSL3307,73.81
235,10123976,20012566,AAA AAA566,CSL4207,73.33
236,10123977,20012567,AAA AAA567,CSL3307,71.43
237,10123978,20012568,AAA AAA568,CSL4207,73.33
238,10123979,20012569,AAA AAA569,CSL5210,0
239,10123983,20012573,AAA AAA573,CSL3307,47.62
240,10123984,20012574,AAA AAA574,CSL3307,73.81
241,10123985,20012575,AAA AAA575,CSL3307,52.38
242,10123987,20012577,AAA AAA577,CSL4207,71.67
243,10123988,20012578,AAA AAA578,CSL3307,71.43
244,10123991,20012581,AAA AAA581,CSL3307,9.52
245,10123992,20012582,AAA AAA582,CSL5210,0
246,10123993,20012583,AAA AAA583,CSL3307,69.05
247,10123994,20012584,AAA AAA584,CSL3307,69.05
248,10123996,20012586,AAA AAA586,CSL3307,73.81
249,10123997,20012587,AAA AAA587,CSL3307,69.05
250,10123998,20012588,AAA AAA588,CSL3307,66.67
251,10123999,20012589,AAA AAA589,CSL3307,50
252,10124000,20012590,AAA AAA590,CSL3307,72.73
253,10124001,20012591,AAA AAA591,CSL2301,74.19
254,10124002,20012592,AAA AAA592,CSL3307,33.33
255,10124003,20012593,AAA AAA593,CSL4305,71.93
256,10124006,20012596,AAA AAA596,CSL3307,72.73
257,10124008,20012598,AAA AAA598,CSL3307,70.45
258,10124009,20012599,AAA AAA599,CSL3307,68.18
259,10124012,20012602,AAA AAA602,CSL3307,22.22
260,10124013,20012603,AAA AAA603,CSL3307,68.18
261,10124014,20012604,AAA AAA604,CSL4305,71.93
262,10124015,20012605,AAA AAA605,ECL3311,73.33
263,10124016,20012606,AAA AAA606,CSL3307,70.45
264,10124017,20012607,AAA AAA607,CSL3307,22.22
265,10124019,20012609,AAA AAA609,CSL3307,70.45
266,10124020,20012610,AAA AAA610,CSL3307,61.36
267,10124021,20012611,AAA AAA611,CSL3307,72.73
268,10124023,20012613,AAA AAA613,CSL3307,33.33
269,10124025,20012615,AAA AAA615,CSL4305,72.41
270,10124028,20012618,AAA AAA618,CSL4305,74.14
271,10124029,20012619,AAA AAA619,CSL3307,44.44
272,10124030,20012620,AAA AAA620,CSL3307,55.56
273,10124032,20012622,AAA AAA622,ECL3311,73.77
274,10124033,20012623,AAA AAA623,CSL4305,74.14
275,10124035,20012625,AAA AAA625,CSL2301,74.19
276,10124037,20012627,AAA AAA627,CSL2301,45.16
277,10124038,20012628,AAA AAA628,CSL4305,70.69
278,10124040,20012630,AAA AAA630,CSL3307,52.27
279,10124041,20012631,AAA AAA631,CSL3307,52.27
280,10124043,20012633,AAA AAA633,CSL2301,64.52
281,10124044,20012634,AAA AAA634,CSL2301,74.19
282,10124046,20012636,AAA AAA636,CSL2301,64.52
283,10124047,20012637,AAA AAA637,CSL3307,61.36
284,10124048,20012638,AAA AAA638,CSL3307,73.33
285,10124052,20012642,AAA AAA642,CSL2301,69.23
286,10124054,20012644,AAA AAA644,AML3201,43.48
287,10124055,20012645,AAA AAA645,ECL3311,72.41
288,10124056,20012646,AAA AAA646,CSL4207,74.14
289,10124058,20012648,AAA AAA648,AML3201,0
